Ideaograms:
Logograms: literal
Taxogram: category

亻  person    rén     (personal name)
口  mouth     kǒu      
土  earth     tǔ
女  woman     nǚ 
忄  heart     xīn
手  hand      shǒu
日  sun       rì 
月  moon      yuè 
木  tree      mù
氵  water     shuǐ
灬  fire      huǒ
纟  silk      mì
艹  grass     cǎo
讠  speech    yán
辶  move      chuò
钅  gold      jīn  
刂  knife     dāo 
宀  roof      mián
贝  shell     bèi
一  one       yī
力  power     lì 
又  again     yòu
犭  dog       quǎn
禾  grain     he
⺮  bamboo    zhú
虫  insect    chóng
阜  mound     dam
大  big       dà 
广  broad     guǎng
田  field     tián
目  eye       mù
石  stone     shí
衤  clothes   yī
足  foot      zú
马  horse     mǎ
页  page      yè
巾  turban    jīn
米  rice      mǐ
车  cart      chē
八  eight     bā
尸  corpse    shī
寸  thumb     cùn
山  mountain  shān
攵  knock     pū
彳  step      chí
十  ten       shí
工  work      gōng
方  square    fāng
门  gate      mén
饣  eat       shí
欠  lack      qiàn
冫  ice       bīng
子  seed      zǐ
儿  child     ér
疒  illness   nè
隹  bird      zhuī
斤  weight    jīn
亠  lid       tóu
王  king      wáng
白  white     bái
立  stand     lì
羊  sheep     yáng
艮  stopping  gèn
冖  cover     mì
厂  cliff     hàn
皿  dish      mǐn
礻  spirit    shì
穴  cave      xuè
走  run       zoǔ
雨  rain      yǔ
囗  enclose   wéi
小  small     xiǎo
戈  weapon    gē
几  table     jī
舌  tongue    shé
干  dry       gān
殳  kill      shū
夕  evening   xī 
止  stop      zhǐ
牜  cow       niú
皮  skin      pí
耳  ear       ěr
辛  bitter    xīn
阝  city      yì
酉  wine      yǒu
青  cyan      qīng
鸟  bird      niǎo
弓  bow       gōng
厶  private   sī
户  house     hù
羽  feather   yǔ
舟  boat      chuán
里  village   lǐ
匕  spoon     bǐ
夂  go        suī
见  see       jiàn
卩  seal      jié
罒  net       wǎng
士  scholar   shì
勹  wrap      baō
